16000,SEFAZ,8,2015,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,99114102,147921.05
16000,SEFAZ,11,2015,150102,SEFAZ - FIN,290000397,PROINVESTE CAIXA - PROGRAMA FINANC. INFRAESTRUTURA AO SANEAMENTO - FINISA,13250199,868771.92
16000,SEFAZ,2,2017,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,99114201,84506.32
16000,SEFAZ,10,2017,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,99114101,43199.62
16000,SEFAZ,2,2021,150102,SEFAZ - FIN,120000000,Royalties - Recursos Naturais,17180231,2328742.98
16000,SEFAZ,4,2021,150102,SEFAZ - FIN,120000000,Royalties - Recursos Naturais,17180241,1992865.78
16000,SEFAZ,6,2021,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11180132,55074.05
16000,SEFAZ,6,2021,150102,SEFAZ - FIN,101001176,Transferências da União (Lei Complementar 176/2020),17189911,313112.5
16000,SEFAZ,7,2021,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91180133,-11445.5
16000,SEFAZ,2,2018,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,17180221,666492.62
16000,SEFAZ,3,2018,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11180133,22922.32
16000,SEFAZ,8,2018,150102,SEFAZ - FIN,120000000,Royalties - Recursos Naturais,17180241,3016159.01
16000,SEFAZ,6,2020,150102,SEFAZ - FIN,101000500,Recursos do Auxílio Financeiro da União para Minimizar Perdas do FPE (MP nº 938/2020),17189911,92934219.22
16000,SEFAZ,7,2020,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11180134,12478.28
16000,SEFAZ,11,2020,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91180135,-2774.72
16000,SEFAZ,6,2019,150102,SEFAZ - FIN,291000395,PROJETO ÁGUAS DE SERGIPE - BIRD - EMPRESTIMO 8113 - BR,21280141,3500000
16000,SEFAZ,9,2019,150102,SEFAZ - FIN,120000000,Royalties - Recursos Naturais,17180241,2113384.17
16000,SEFAZ,1,2016,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,91130201,-405330837.01
16000,SEFAZ,3,2016,161011,SEFAZ,291000398,PROFISCO - PROJETO MODERN. FAZENDÁRIA - EMPRESTIMO Nº 2518/OC-BR,13250199,7979.82
16000,SEFAZ,4,2016,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,19909903,20656.9
16000,SEFAZ,4,2016,150102,SEFAZ - FIN,101000000,Tesouro - Recursos Ordinários,11211700,101853.94
